Date : 2025-01-24 16:19:33
Directory : c:\Users\hondak\projects\cline-test-app
Total : 2269 files,  426690 codes, 33148 comments, 76896 blanks, all 536734 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| attendance_env\Lib\site-packages\django\conf\locale\cs                                                                                                 |          2 |         33 |          9 |          3 |         45 |
| attendance_env\Lib\site-packages\django\conf\locale\cy                                                                                                 |          2 |         26 |          6 |          3 |         35 |
| attendance_env\Lib\site-packages\django\conf\locale\da                                                                                                 |          2 |         19 |          6 |          3 |         28 |
| attendance_env\Lib\site-packages\django\conf\locale\de                                                                                                 |          2 |         20 |          8 |          3 |         31 |
| attendance_env\Lib\site-packages\django\conf\locale\de_CH                                                                                              |          2 |         20 |         13 |          4 |         37 |
| attendance_env\Lib\site-packages\django\conf\locale\el                                                                                                 |          2 |         27 |          6 |          3 |         36 |
| attendance_env\Lib\site-packages\django\conf\locale\en                                                                                                 |          2 |         40 |         22 |          5 |         67 |
| attendance_env\Lib\site-packages\django\conf\locale\en_AU                                                                                              |          2 |         26 |         14 |          3 |         43 |
| attendance_env\Lib\site-packages\django\conf\locale\en_GB                                                                                              |          2 |         26 |         14 |          3 |         43 |
| attendance_env\Lib\site-packages\django\conf\locale\eo                                                                                                 |          2 |         37 |          6 |          3 |         46 |
| attendance_env\Lib\site-packages\django\conf\locale\es                                                                                                 |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\es_AR                                                                                              |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\es_CO                                                                                              |          2 |         24 |          2 |          2 |         28 |
| attendance_env\Lib\site-packages\django\conf\locale\es_MX                                                                                              |          2 |         24 |          2 |          2 |         28 |
| attendance_env\Lib\site-packages\django\conf\locale\es_NI                                                                                              |          2 |         24 |          2 |          2 |         28 |
| attendance_env\Lib\site-packages\django\conf\locale\es_PR                                                                                              |          2 |         23 |          2 |          4 |         29 |
| attendance_env\Lib\site-packages\django\conf\locale\et                                                                                                 |          2 |          6 |         14 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\eu                                                                                                 |          2 |         11 |          9 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\fa                                                                                                 |          2 |         10 |         10 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\fi                                                                                                 |          2 |         28 |          6 |          4 |         38 |
| attendance_env\Lib\site-packages\django\conf\locale\fr                                                                                                 |          2 |         25 |          7 |          3 |         35 |
| attendance_env\Lib\site-packages\django\conf\locale\fy                                                                                                 |          2 |          0 |         20 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\ga                                                                                                 |          2 |          6 |         14 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\gd                                                                                                 |          2 |          9 |         11 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\gl                                                                                                 |          2 |         10 |         10 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\he                                                                                                 |          2 |          9 |         11 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\hi                                                                                                 |          2 |          6 |         14 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\hr                                                                                                 |          2 |         35 |          7 |          4 |         46 |
| attendance_env\Lib\site-packages\django\conf\locale\hu                                                                                                 |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\id                                                                                                 |          2 |         39 |          6 |          6 |         51 |
| attendance_env\Lib\site-packages\django\conf\locale\ig                                                                                                 |          2 |         25 |          6 |          3 |         34 |
| attendance_env\Lib\site-packages\django\conf\locale\is                                                                                                 |          2 |          8 |         12 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\it                                                                                                 |          2 |         36 |          6 |          3 |         45 |
| attendance_env\Lib\site-packages\django\conf\locale\ja                                                                                                 |          2 |          9 |         11 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\ka                                                                                                 |          2 |         35 |         12 |          3 |         50 |
| attendance_env\Lib\site-packages\django\conf\locale\km                                                                                                 |          2 |          8 |         12 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\kn                                                                                                 |          2 |          4 |         16 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\ko                                                                                                 |          2 |         36 |         16 |          4 |         56 |
| attendance_env\Lib\site-packages\django\conf\locale\ky                                                                                                 |          2 |         25 |          6 |          3 |         34 |
| attendance_env\Lib\site-packages\django\conf\locale\lt                                                                                                 |          2 |         38 |          6 |          3 |         47 |
| attendance_env\Lib\site-packages\django\conf\locale\lv                                                                                                 |          2 |         38 |          7 |          3 |         48 |
| attendance_env\Lib\site-packages\django\conf\locale\mk                                                                                                 |          2 |         31 |          6 |          5 |         42 |
| attendance_env\Lib\site-packages\django\conf\locale\ml                                                                                                 |          2 |         27 |         15 |          3 |         45 |
| attendance_env\Lib\site-packages\django\conf\locale\mn                                                                                                 |          2 |          3 |         17 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\ms                                                                                                 |          2 |         31 |          6 |          3 |         40 |
| attendance_env\Lib\site-packages\django\conf\locale\nb                                                                                                 |          2 |         27 |         13 |          3 |         43 |
| attendance_env\Lib\site-packages\django\conf\locale\nl                                                                                                 |          2 |         58 |         33 |          3 |         94 |
| attendance_env\Lib\site-packages\django\conf\locale\nn                                                                                                 |          2 |         27 |         13 |          3 |         43 |
| attendance_env\Lib\site-packages\django\conf\locale\pl                                                                                                 |          2 |         21 |          8 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\pt                                                                                                 |          2 |         27 |         11 |          3 |         41 |
| attendance_env\Lib\site-packages\django\conf\locale\pt_BR                                                                                              |          2 |         23 |         10 |          3 |         36 |
| attendance_env\Lib\site-packages\django\conf\locale\ro                                                                                                 |          2 |         28 |          6 |          3 |         37 |
| attendance_env\Lib\site-packages\django\conf\locale\ru                                                                                                 |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\sk                                                                                                 |          2 |         21 |          8 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\sl                                                                                                 |          2 |         35 |          6 |          5 |         46 |
| attendance_env\Lib\site-packages\django\conf\locale\sq                                                                                                 |          2 |          7 |         13 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\sr                                                                                                 |          2 |         31 |         12 |          3 |         46 |
| attendance_env\Lib\site-packages\django\conf\locale\sr_Latn                                                                                            |          2 |         31 |         12 |          3 |         46 |
| attendance_env\Lib\site-packages\django\conf\locale\sv                                                                                                 |          2 |         27 |          7 |          3 |         37 |
| attendance_env\Lib\site-packages\django\conf\locale\ta                                                                                                 |          2 |          4 |         16 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\te                                                                                                 |          2 |          4 |         16 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\tg                                                                                                 |          2 |         25 |          6 |          3 |         34 |
| attendance_env\Lib\site-packages\django\conf\locale\th                                                                                                 |          2 |         26 |          6 |          3 |         35 |
| attendance_env\Lib\site-packages\django\conf\locale\tk                                                                                                 |          2 |         25 |          6 |          3 |         34 |
| attendance_env\Lib\site-packages\django\conf\locale\tr                                                                                                 |          2 |         21 |          8 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\uk                                                                                                 |          2 |         28 |          6 |          3 |         37 |
| attendance_env\Lib\site-packages\django\conf\locale\uz                                                                                                 |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\vi                                                                                                 |          2 |          9 |         11 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\zh_Hans                                                                                            |          2 |         32 |          6 |          6 |         44 |
| attendance_env\Lib\site-packages\django\conf\locale\zh_Hant                                                                                            |          2 |         32 |          6 |          6 |         44 |
| attendance_env\Lib\site-packages\django\conf\urls                                                                                                      |          3 |         62 |          2 |         17 |         81 |
| attendance_env\Lib\site-packages\django\contrib                                                                                                        |        539 |     56,953 |      6,380 |     11,588 |     74,921 |
| attendance_env\Lib\site-packages\django\contrib (Files)                                                                                                |          1 |          0 |          0 |          1 |          1 |
| attendance_env\Lib\site-packages\django\contrib\admin                                                                                                  |        200 |     30,586 |      4,472 |      6,226 |     41,284 |
| attendance_env\Lib\site-packages\django\contrib\admin (Files)                                                                                          |         15 |      6,293 |        290 |        926 |      7,509 |
| attendance_env\Lib\site-packages\django\contrib\admin\migrations                                                                                       |          4 |        104 |          2 |         13 |        119 |
| attendance_env\Lib\site-packages\django\contrib\admin\static                                                                                           |        121 |     21,662 |      4,078 |      4,918 |     30,658 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin                                                                                     |        121 |     21,662 |      4,078 |      4,918 |     30,658 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css                                                                                 |         15 |      4,089 |         99 |        968 |      5,156 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css (Files)                                                                         |         12 |      3,646 |         99 |        905 |      4,650 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\vendor                                                                          |          3 |        443 |          0 |         63 |        506 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\vendor\select2                                                                  |          3 |        443 |          0 |         63 |        506 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img                                                                                 |         20 |        126 |          0 |         18 |        144 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img (Files)                                                                         |         18 |        124 |          0 |         18 |        142 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\gis                                                                             |          2 |          2 |          0 |          0 |          2 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js                                                                                  |         86 |     17,447 |      3,979 |      3,932 |     25,358 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js (Files)                                                                          |         18 |      1,567 |        192 |        146 |      1,905 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\admin                                                                            |          2 |        520 |         78 |         50 |        648 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\vendor                                                                           |         66 |     15,360 |      3,709 |      3,736 |     22,805 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\jquery                                                                    |          2 |      6,914 |      1,963 |      2,092 |     10,969 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\select2                                                                   |         62 |      5,179 |        444 |      1,399 |      7,022 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\select2 (Files)                                                           |          3 |      5,120 |        385 |      1,340 |      6,845 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\select2\i18n                                                              |         59 |         59 |         59 |         59 |        177 |
| attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\xregexp                                                                   |          2 |      3,267 |      1,302 |        245 |      4,814 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates                                                                                        |         50 |      1,205 |          8 |        186 |      1,399 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin                                                                                  |         42 |      1,038 |          8 |        131 |      1,177 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin (Files)                                                                          |         27 |        784 |          8 |        105 |        897 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin\auth                                                                             |          2 |         58 |          0 |         11 |         69 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin\auth\user                                                                        |          2 |         58 |          0 |         11 |         69 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin\edit_inline                                                                      |          2 |         93 |          0 |          4 |         97 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin\includes                                                                         |          2 |         41 |          0 |          2 |         43 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\admin\widgets                                                                          |          9 |         62 |          0 |          9 |         71 |
| attendance_env\Lib\site-packages\django\contrib\admin\templates\registration                                                                           |          8 |        167 |          0 |         55 |        222 |
| attendance_env\Lib\site-packages\django\contrib\admin\templatetags                                                                                     |          6 |        729 |         23 |        117 |        869 |
| attendance_env\Lib\site-packages\django\contrib\admin\views                                                                                            |          4 |        593 |         71 |         66 |        730 |
| attendance_env\Lib\site-packages\django\contrib\admindocs                                                                                              |         16 |      1,061 |         40 |        186 |      1,287 |
| attendance_env\Lib\site-packages\django\contrib\admindocs (Files)                                                                                      |          6 |        702 |         40 |         96 |        838 |
| attendance_env\Lib\site-packages\django\contrib\admindocs\templates                                                                                    |         10 |        359 |          0 |         90 |        449 |
| attendance_env\Lib\site-packages\django\contrib\admindocs\templates\admin_doc                                                                          |         10 |        359 |          0 |         90 |        449 |
| attendance_env\Lib\site-packages\django\contrib\auth                                                                                                   |         39 |      4,406 |        203 |        822 |      5,431 |
| attendance_env\Lib\site-packages\django\contrib\auth (Files)                                                                                           |         19 |      3,469 |        165 |        696 |      4,330 |
| attendance_env\Lib\site-packages\django\contrib\auth\handlers                                                                                          |          2 |         35 |          2 |          8 |         45 |
| attendance_env\Lib\site-packages\django\contrib\auth\management                                                                                        |          4 |        473 |         33 |         61 |        567 |
| attendance_env\Lib\site-packages\django\contrib\auth\management (Files)                                                                                |          1 |        132 |         19 |         25 |        176 |
| attendance_env\Lib\site-packages\django\contrib\auth\management\commands                                                                               |          3 |        341 |         14 |         36 |        391 |
| attendance_env\Lib\site-packages\django\contrib\auth\migrations                                                                                        |         13 |        424 |          3 |         56 |        483 |
| attendance_env\Lib\site-packages\django\contrib\auth\templates                                                                                         |          1 |          5 |          0 |          1 |          6 |
| attendance_env\Lib\site-packages\django\contrib\auth\templates\auth                                                                                    |          1 |          5 |          0 |          1 |          6 |
| attendance_env\Lib\site-packages\django\contrib\auth\templates\auth\widgets                                                                            |          1 |          5 |          0 |          1 |          6 |
| attendance_env\Lib\site-packages\django\contrib\contenttypes                                                                                           |         14 |      1,450 |         96 |        235 |      1,781 |
| attendance_env\Lib\site-packages\django\contrib\contenttypes (Files)                                                                                   |          8 |      1,157 |         85 |        191 |      1,433 |
| attendance_env\Lib\site-packages\django\contrib\contenttypes\management                                                                                |          3 |        214 |         11 |         33 |        258 |
| attendance_env\Lib\site-packages\django\contrib\contenttypes\management (Files)                                                                        |          1 |        115 |         10 |         21 |        146 |
| attendance_env\Lib\site-packages\django\contrib\contenttypes\management\commands                                                                       |          2 |         99 |          1 |         12 |        112 |
| attendance_env\Lib\site-packages\django\contrib\contenttypes\migrations                                                                                |          3 |         79 |          0 |         11 |         90 |
| attendance_env\Lib\site-packages\django\contrib\flatpages                                                                                              |         13 |        354 |         23 |         68 |        445 |
| attendance_env\Lib\site-packages\django\contrib\flatpages (Files)                                                                                      |          9 |        212 |         16 |         44 |        272 |
| attendance_env\Lib\site-packages\django\contrib\flatpages\migrations                                                                                   |          2 |         65 |          0 |          5 |         70 |
| attendance_env\Lib\site-packages\django\contrib\flatpages\templatetags                                                                                 |          2 |         77 |          7 |         19 |        103 |
| attendance_env\Lib\site-packages\django\contrib\gis                                                                                                    |        143 |     12,403 |      1,204 |      2,626 |     16,233 |
| attendance_env\Lib\site-packages\django\contrib\gis (Files)                                                                                            |          8 |        515 |         54 |         94 |        663 |
| attendance_env\Lib\site-packages\django\contrib\gis\admin                                                                                              |          3 |        279 |         30 |         44 |        353 |
| attendance_env\Lib\site-packages\django\contrib\gis\db                                                                                                 |         49 |      3,721 |        304 |        857 |      4,882 |
| attendance_env\Lib\site-packages\django\contrib\gis\db (Files)                                                                                         |          1 |          0 |          0 |          1 |          1 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends                                                                                        |         40 |      2,460 |        229 |        503 |      3,192 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends (Files)                                                                                |          2 |         22 |          0 |          8 |         30 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends\base                                                                                   |          5 |        364 |         43 |         84 |        491 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends\mysql                                                                                  |          6 |        228 |         15 |         47 |        290 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends\oracle                                                                                 |          8 |        469 |         27 |         93 |        589 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends\postgis                                                                                |         10 |        812 |        107 |        174 |      1,093 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\backends\spatialite                                                                             |          9 |        565 |         37 |         97 |        699 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\models                                                                                          |          8 |      1,261 |         75 |        353 |      1,689 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\models (Files)                                                                                  |          6 |      1,201 |         72 |        335 |      1,608 |
| attendance_env\Lib\site-packages\django\contrib\gis\db\models\sql                                                                                      |          2 |         60 |          3 |         18 |         81 |
| attendance_env\Lib\site-packages\django\contrib\gis\forms                                                                                              |          3 |        232 |         13 |         55 |        300 |
| attendance_env\Lib\site-packages\django\contrib\gis\gdal                                                                                               |         25 |      3,360 |        336 |        657 |      4,353 |
| attendance_env\Lib\site-packages\django\contrib\gis\gdal (Files)                                                                                       |         13 |      1,941 |        180 |        400 |      2,521 |
| attendance_env\Lib\site-packages\django\contrib\gis\gdal\prototypes                                                                                    |          7 |        658 |         66 |        125 |        849 |
| attendance_env\Lib\site-packages\django\contrib\gis\gdal\raster                                                                                        |          5 |        761 |         90 |        132 |        983 |
| attendance_env\Lib\site-packages\django\contrib\gis\geoip2                                                                                             |          3 |        215 |         27 |         47 |        289 |
| attendance_env\Lib\site-packages\django\contrib\gis\geos                                                                                               |         24 |      2,410 |        245 |        622 |      3,277 |
| attendance_env\Lib\site-packages\django\contrib\gis\geos (Files)                                                                                       |         14 |      1,740 |        144 |        411 |      2,295 |
| attendance_env\Lib\site-packages\django\contrib\gis\geos\prototypes                                                                                    |         10 |        670 |        101 |        211 |        982 |
| attendance_env\Lib\site-packages\django\contrib\gis\management                                                                                         |          4 |        153 |         10 |         23 |        186 |
| attendance_env\Lib\site-packages\django\contrib\gis\management (Files)                                                                                 |          1 |          0 |          0 |          1 |          1 |
| attendance_env\Lib\site-packages\django\contrib\gis\management\commands                                                                                |          3 |        153 |         10 |         22 |        185 |
| attendance_env\Lib\site-packages\django\contrib\gis\serializers                                                                                        |          2 |         67 |          3 |         13 |         83 |
| attendance_env\Lib\site-packages\django\contrib\gis\sitemaps                                                                                           |          3 |        119 |          7 |         24 |        150 |
| attendance_env\Lib\site-packages\django\contrib\gis\static                                                                                             |          8 |        245 |         16 |         30 |        291 |
| attendance_env\Lib\site-packages\django\contrib\gis\static\gis                                                                                         |          8 |        245 |         16 |         30 |        291 |
| attendance_env\Lib\site-packages\django\contrib\gis\static\gis\css                                                                                     |          1 |         35 |          0 |          5 |         40 |
