Date : 2025-01-24 16:19:33
Directory : c:\Users\hondak\projects\cline-test-app
Total : 2269 files,  426690 codes, 33148 comments, 76896 blanks, all 536734 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\fields\proxy.py                                              | Python           |         14 |          0 |          5 |         19 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\fields\related.py                                            | Python           |      1,662 |        109 |        212 |      1,983 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\fields\related_descriptors.py                                | Python           |      1,132 |        141 |        234 |      1,507 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\fields\related_lookups.py                                    | Python           |        148 |         29 |         33 |        210 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\fields\reverse_related.py                                    | Python           |        314 |         24 |         65 |        403 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\__init__.py                                        | Python           |        184 |          5 |          2 |        191 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\comparison.py                                      | Python           |        168 |         11 |         42 |        221 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\datetime.py                                        | Python           |        338 |         21 |         81 |        440 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\math.py                                            | Python           |        144 |          7 |         62 |        213 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\mixins.py                                          | Python           |         44 |          4 |         10 |         58 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\text.py                                            | Python           |        271 |          7 |         88 |        366 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\functions\window.py                                          | Python           |         90 |          0 |         31 |        121 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\indexes.py                                                   | Python           |        261 |         12 |         23 |        296 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\lookups.py                                                   | Python           |        539 |         44 |        145 |        728 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\manager.py                                                   | Python           |        155 |         20 |         39 |        214 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\options.py                                                   | Python           |        797 |        119 |         99 |      1,015 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\query.py                                                     | Python           |      2,135 |        217 |        280 |      2,632 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\query_utils.py                                               | Python           |        351 |         21 |         64 |        436 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\signals.py                                                   | Python           |         39 |          1 |         15 |         55 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\__init__.py                                              | Python           |          5 |          0 |          2 |          7 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\compiler.py                                              | Python           |      1,739 |        214 |        144 |      2,097 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\constants.py                                             | Python           |         14 |          5 |          6 |         25 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\datastructures.py                                        | Python           |        182 |         13 |         30 |        225 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\query.py                                                 | Python           |      2,102 |        365 |        230 |      2,697 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\subqueries.py                                            | Python           |        141 |          2 |         29 |        172 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\sql\where.py                                                 | Python           |        278 |         30 |         48 |        356 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\models\utils.py                                                     | Python           |         54 |          2 |         14 |         70 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\transaction.py                                                      | Python           |        235 |         40 |         66 |        341 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\db\utils.py                                                            | Python           |        205 |         21 |         53 |        279 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\dispatch\__init__.py                                                   | Python           |          6 |          0 |          4 |         10 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\dispatch\dispatcher.py                                                 | Python           |        226 |         22 |         58 |        306 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\__init__.py                                                      | Python           |         10 |          0 |          2 |         12 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\boundfield.py                                                    | Python           |        291 |         10 |         44 |        345 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\fields.py                                                        | Python           |      1,108 |         96 |        188 |      1,392 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\forms.py                                                         | Python           |        435 |         38 |         67 |        540 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\formsets.py                                                      | Python           |        469 |         51 |         60 |        580 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\attrs.html                                   | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\default.html                                 | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\div.html                                     | HTML             |         24 |          0 |          1 |         25 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\errors\dict\default.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\errors\dict\ul.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\errors\list\default.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\errors\list\ul.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\formsets\default.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\formsets\div.html                            | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\formsets\p.html                              | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\formsets\table.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\formsets\ul.html                             | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\label.html                                   | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\p.html                                       | HTML             |         20 |          0 |          1 |         21 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\table.html                                   | HTML             |         29 |          0 |          1 |         30 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\ul.html                                      | HTML             |         24 |          0 |          1 |         25 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\attrs.html                           | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\checkbox.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\checkbox_option.html                 | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\checkbox_select.html                 | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\clearable_file_input.html            | HTML             |          5 |          0 |          1 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\date.html                            | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\datetime.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\email.html                           | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\file.html                            | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\hidden.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\input.html                           | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\input_option.html                    | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\multiple_hidden.html                 | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\multiple_input.html                  | HTML             |          5 |          0 |          1 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\multiwidget.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\number.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\password.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\radio.html                           | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\radio_option.html                    | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\select.html                          | HTML             |          5 |          0 |          1 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\select_date.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\select_option.html                   | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\splitdatetime.html                   | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\splithiddendatetime.html             | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\text.html                            | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\textarea.html                        | HTML             |          2 |          0 |          1 |          3 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\time.html                            | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\jinja2\django\forms\widgets\url.html                             | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\models.py                                                        | Python           |      1,300 |        165 |        196 |      1,661 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\renderers.py                                                     | Python           |         69 |          5 |         29 |        103 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\attrs.html                                | HTML             |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\default.html                              | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\div.html                                  | HTML             |         24 |          0 |          1 |         25 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\errors\dict\default.html                  | HTML             |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\errors\dict\ul.html                       | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\errors\list\default.html                  | HTML             |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\errors\list\ul.html                       | HTML             |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\formsets\default.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\formsets\div.html                         | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\formsets\p.html                           | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\formsets\table.html                       | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\formsets\ul.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\label.html                                | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\p.html                                    | HTML             |         20 |          0 |          1 |         21 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\table.html                                | HTML             |         29 |          0 |          1 |         30 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\ul.html                                   | HTML             |         24 |          0 |          1 |         25 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\attrs.html                        | HTML             |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\checkbox.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\checkbox_option.html              | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\checkbox_select.html              | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\clearable_file_input.html         | HTML             |          5 |          0 |          1 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\date.html                         | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\datetime.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\email.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\file.html                         | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\hidden.html                       | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\input.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\input_option.html                 | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\multiple_hidden.html              | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\multiple_input.html               | HTML             |          5 |          0 |          1 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\multiwidget.html                  | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\number.html                       | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\password.html                     | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\radio.html                        | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\radio_option.html                 | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\select.html                       | HTML             |          5 |          0 |          1 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\select_date.html                  | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\select_option.html                | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\splitdatetime.html                | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\splithiddendatetime.html          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\text.html                         | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\textarea.html                     | HTML             |          2 |          0 |          1 |          3 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\time.html                         | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\templates\django\forms\widgets\url.html                          | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\utils.py                                                         | Python           |        187 |          6 |         51 |        244 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\forms\widgets.py                                                       | Python           |        967 |         43 |        193 |      1,203 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\http\__init__.py                                                       | Python           |         51 |          0 |          2 |         53 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\http\cookie.py                                                         | Python           |         16 |          4 |          4 |         24 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\http\multipartparser.py                                                | Python           |        536 |         88 |        120 |        744 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\http\request.py                                                        | Python           |        580 |         49 |        111 |        740 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\http\response.py                                                       | Python           |        552 |         54 |        127 |        733 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\__init__.py                                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\cache.py                                                    | Python           |        157 |         16 |         39 |        212 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\clickjacking.py                                             | Python           |         35 |          2 |         12 |         49 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\common.py                                                   | Python           |        132 |         18 |         29 |        179 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\csrf.py                                                     | Python           |        344 |         80 |         65 |        489 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\gzip.py                                                     | Python           |         51 |         10 |         14 |         75 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\http.py                                                     | Python           |         29 |          3 |          9 |         41 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\locale.py                                                   | Python           |         65 |          7 |          9 |         81 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\middleware\security.py                                                 | Python           |         56 |          2 |          9 |         67 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\shortcuts.py                                                           | Python           |        118 |          9 |         29 |        156 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\__init__.py                                                   | Python           |         46 |          6 |         24 |         76 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\autoreload.py                                                 | Python           |         40 |          3 |         12 |         55 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\backends\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\backends\base.py                                              | Python           |         60 |          7 |         14 |         81 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\backends\django.py                                            | Python           |        110 |          1 |         26 |        137 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\backends\dummy.py                                             | Python           |         42 |          0 |         10 |         52 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\backends\jinja2.py                                            | Python           |        104 |          0 |         22 |        126 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\backends\utils.py                                             | Python           |         11 |          0 |          5 |         16 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\base.py                                                       | Python           |        889 |         79 |        154 |      1,122 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\context.py                                                    | Python           |        224 |         13 |         54 |        291 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\context_processors.py                                         | Python           |         62 |          5 |         23 |         90 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\defaultfilters.py                                             | Python           |        767 |         31 |        182 |        980 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\defaulttags.py                                                | Python           |      1,134 |         75 |        285 |      1,494 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\engine.py                                                     | Python           |        182 |          7 |         24 |        213 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\exceptions.py                                                 | Python           |         35 |          0 |         10 |         45 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\library.py                                                    | Python           |        313 |         29 |         44 |        386 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loader.py                                                     | Python           |         51 |          0 |         16 |         67 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loader_tags.py                                                | Python           |        284 |         20 |         49 |        353 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loaders\__init__.py                                           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loaders\app_directories.py                                    | Python           |          9 |          0 |          5 |         14 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loaders\base.py                                               | Python           |         43 |          0 |          9 |         52 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loaders\cached.py                                             | Python           |         80 |          0 |         21 |        101 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loaders\filesystem.py                                         | Python           |         35 |          2 |          9 |         46 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\loaders\locmem.py                                             | Python           |         20 |          0 |          7 |         27 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\response.py                                                   | Python           |        118 |         17 |         30 |        165 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\smartif.py                                                    | Python           |        150 |         19 |         45 |        214 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\template\utils.py                                                      | Python           |         86 |          6 |         20 |        112 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\templatetags\__init__.py                                               | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\templatetags\cache.py                                                  | Python           |         86 |          0 |         15 |        101 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\templatetags\i18n.py                                                   | Python           |        498 |         13 |        106 |        617 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\templatetags\l10n.py                                                   | Python           |         50 |          0 |         14 |         64 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\templatetags\static.py                                                 | Python           |        136 |          2 |         42 |        180 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\templatetags\tz.py                                                     | Python           |        161 |         15 |         54 |        230 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\test\__init__.py                                                       | Python           |         36 |          0 |          3 |         39 |
